id,eventname,startdate,enddate,venue.town,venue.region,cancelled,genre_count,genres,artist_count
42374166,Stendhal Festival,2026-07-02T11:00:00+00:00,2026-07-04T23:00:00+00:00,Limavady,Northern Ireland,0,3.0,"['Indie', 'Folk', 'Indie Pop']",11.0
42415077,Immunity Festival 2026! Crediton,2026-07-02T15:00:00+00:00,2026-07-06T11:45:00+00:00,Crediton,Devon,1,4.0,"['House', 'Trance', 'Hard House', 'Reggae']",3.0
42415515,Minety Music Festival 2026,2026-07-02T12:00:00+00:00,2026-07-05T22:30:00+00:00,Malmesbury,Wiltshire,0,5.0,"['Club Classics', 'Indie', 'Blues', 'Folk', 'Pop Rock']",13.0
42300664,Gate To Southwell Festival,2026-07-02T11:00:00+00:00,2026-07-05T23:00:00+00:00,Newark,Nottingham,0,2.0,"['Acoustic', 'Folk']",14.0
41956332,Swindon Balloon Festival,2026-07-03T16:00:00+00:00,2026-07-04T22:30:00+00:00,Swindon,Wiltshire,0,,,
41997647,Faithless LIVE | Manchester,2026-07-03T17:00:00+00:00,2026-07-03T23:00:00+00:00,Manchester,Greater Manchester,0,2.0,"['House', 'Trance']",3.0
41619018,Above & Beyond | Silverworks Island [Enter via Custom House],2026-07-03T16:00:00+00:00,2026-07-03T22:30:00+00:00,London,London,0,3.0,"['House', 'Trance', 'Electronic']",1.0
42094267,ECLIPSE - Windsor Racecourse,2026-07-03T16:30:00+00:00,2026-07-03T22:30:00+00:00,Windsor,Berkshire,0,3.0,"['UK Garage', 'R&B', 'Soul']",4.0
41580629,Clubland Live at The Abbey Nottingham,2026-07-03T16:00:00+00:00,2026-07-03T23:00:00+00:00,Ravenshead,Nottingham,0,4.0,"['Hardcore/Hardstyle', 'Club Classics', 'Cheesy Dance', 'Hard Dance']",18.0
42138242,Ministry Of Sound Classical - Live at Rochester Castle,2026-07-03T16:00:00+00:00,2026-07-03T22:00:00+00:00,Kent,Kent,0,,,
41663992,The Skegness Reggae & Ska Festival 2026,2026-07-03T16:00:00+00:00,2026-07-05T19:00:00+00:00,Skegness,Cambridgeshire,0,2.0,"['Ska', 'Reggae']",11.0
41580632,Ravers Reunited Live At The Abbey Nottingham,2026-07-03T16:00:00+00:00,2026-07-03T23:00:00+00:00,Ravenshead,Nottingham,0,4.0,"['Hardcore/Hardstyle', 'Club Classics', 'Cheesy Dance', 'Hard Dance']",16.0
41981597,Secret Garden Series Hosted By: Warehouse Events,2026-07-03T18:00:00+00:00,2026-07-03T23:00:00+00:00,Southampton,Hants,0,3.0,"['UK Garage', 'Drum and Bass', 'Bassline']",3.0
41284236,BACK2HOUSE -The House across the Decades Festival Weekender 2026,2026-07-03T11:00:00+00:00,2026-07-05T23:00:00+00:00,Bewdley,West Midlands,0,4.0,"['UK Garage', 'Soul', 'Reggae', 'Jungle']",2.0
41386379,Rivendell Festival 2026,2026-07-03T13:00:00+00:00,2026-07-04T23:45:00+00:00,Workington,Cumbria,0,,,1.0
42005594,East Devon Soul Festival,2026-07-03T19:00:00+00:00,2026-07-04T23:45:00+00:00,Seaton,Devon,0,5.0,"['Drum and Bass', 'Jazz', 'Hip Hop', 'Ska', 'Electronic']",7.0
42517293,The Totally 80s Festival,2026-07-03T16:30:00+00:00,2026-07-03T23:00:00+00:00,Swansea,West Glamorgan,0,1.0,['Pop'],1.0
42352287,AlderFest 2026,2026-07-03T17:00:00+00:00,2026-07-04T23:00:00+00:00,Whitchurch,Shropshire,0,2.0,"['Pop', 'Club Classics']",6.0
